time,P_fridge,P_MW,P_DIS,P_Light,P_Humid,P_HVAC,P_EV,P_ESS,P_PV,MW_remaintime,DIS_remaintime,EV_remain_SOC,ESS_remain_SOC
12,0.3,0.0,0.0,0.49893619418144225,0.0,0.004570484161376953,0.0,3.8984137773513794,-3.9983017444610596,2,2,40.0,24.70349308848381
13,0.3,0.0,0.0,0.4994469344615936,0.20644022524356842,0.017812252044677734,0.0,-3.5568708181381226,-3.9927499294281006,2,2,40.0,21.324465811252594
14,0.3,0.0,0.0,0.4980332016944885,0.2054125487804413,0.010983943939208984,-0.0,2.8840240836143494,-3.986682891845703,2,2,40.0,24.064288690686226
15,0.3,0.0,0.0,0.4991353750228882,0.20433820486068727,0.0066797733306884766,-0.0,-7.605621814727783,-3.9764517545700073,2,2,40.0,16.838947966694832
16,0.3,0.0,0.0,0.4974664866924286,0.20082989633083345,0.006128251552581787,-0.0,2.4053554236888885,-3.9953418970108032,2,2,40.0,19.124035619199276
17,0.3,0.0,0.0,0.49815972447395324,0.2005996972322464,0.014426231384277344,-0.0,3.715125322341919,-3.995438814163208,2,2,40.0,22.6534046754241
18,0.3,0.0,0.0,0.4995035707950592,0.20316011905670167,0.004399716854095459,-0.0,3.791707158088684,-3.9905154705047607,2,2,40.0,26.25552647560835
19,0.3,0.4,0.0,0.4985240936279297,0.21070591509342196,0.004720449447631836,-0.0,-8.03735613822937,-3.9837902784347534,1,2,40.0,18.620038144290447
20,0.3,0.4,0.5,0.49881680607795714,0.20060000717639925,0.0048659443855285645,-7.3471699655056,-2.348621189594269,0.0,0,1,32.26613687841516,16.388848014175892
21,0.3,0.0,0.5,0.4982308506965637,0.20168677866458895,0.008802235126495361,-7.068184465169907,-1.060369610786438,0.0,0,0,24.8259427045521,15.381496883928776
22,0.3,0.0,0.0,0.4992233097553253,0.20335971713066103,0.012008488178253174,-5.19381120800972,3.7865176796913147,0.0,0,0,19.35877301191029,18.978688679635525
23,0.3,0.0,0.0,0.0,0.0,0.01204603910446167,-4.76243332028389,1.4386150240898132,0.0,0,0,14.345685306348301,20.345372952520847
0,0.3,0.0,0.0,0.0,0.0,0.02739739418029785,7.477268725633621,-2.8016236424446106,0.0,0,0,21.44909059570024,17.683830492198467
1,0.3,0.0,0.0,0.0,0.0,0.04153478145599365,7.304686903953552,5.260063409805298,0.0,0,0,28.388543154456116,22.6808907315135
2,0.3,0.0,0.0,0.0,0.0,0.03509289026260376,7.354794144630432,1.0209465771913528,0.0,0,0,35.375597591855026,23.650789979845285
3,0.3,0.0,0.0,0.0,0.0,0.02799457311630249,7.341622710227966,-0.8840710669755936,0.0,0,0,42.350139166571594,22.81092246621847
4,0.3,0.0,0.0,0.0,0.0,0.02414780855178833,6.5658581256866455,4.233760237693787,0.0,0,0,48.58770438597391,26.83299469202757
5,0.3,0.0,0.0,0.0,0.0,0.009211182594299316,6.908167004585266,-0.37029583007097244,0.0,0,0,55.15046304032991,26.481213653460145
6,0.3,0.0,0.0,0.4990076839923859,0.0,0.010530531406402588,4.840131998062134,-3.0172917246818542,0.0,0,0,59.74858843848894,23.614786515012383
7,0.3,0.0,0.0,0.49741257429122926,0.0,0.04305046796798706,0.5719353631138802,1.79582878947258,-3.966798424720764,0,0,60.291927033447124,25.320823865011334
8,0.3,0.0,0.0,0.49955307245254515,0.0,0.014329016208648682,-0.17968389205634594,0.3448891267180443,-3.993642210960388,0,0,60.10278609444045,25.648468535393476
9,0.3,0.0,0.0,0.49774314761161803,0.0,0.02649003267288208,0.0,-0.4850146546959877,-3.9667292833328247,0,0,60.10278609444045,25.187704613432288
10,0.3,0.0,0.0,0.49962285757064817,0.0,0.008087694644927979,0.0,-3.6150771379470825,-3.985059142112732,0,0,60.10278609444045,21.75338133238256
11,0.3,0.0,0.0,0.4992854058742523,0.0,0.004039764404296875,0.0,-4.85255628824234,-3.9195371866226196,0,0,60.10278609444045,17.143452858552337
